"source_string","translated_string","context"
"Cost Center is required for Allowance Spend.","Il Centro di Costo è obbligatorio per la Spesa Plafond.",""
"Cost Center is required for contracts.","Il Centro di Costo è obbligatorio per i contratti.",""
"Cost Center is required on Project.","Il Centro di Costo è obbligatorio sul Progetto.",""
"Cost Center {0} is missing tree bounds (lft/rgt).","Il Centro di Costo {0} manca dei limiti dell'albero (lft/rgt).",""
"Cost Centers","Centri di Costo",""
"Cost center consigliato (obbligatorio di fatto per allowance caps).","Cost center consigliato (obbligatorio di fatto per allowance caps).",""
"Count","Conteggio",""
"Coverage","Copertura",""
"Covered","Coperto",""
"Covered By","Coperto da",""
"Covered By Type","Tipo Coperto da",""
"Covered By Type is required when setting Covered By.","Il Tipo Coperto da è richiesto quando si imposta Coperto da.",""
"Covered By requires a linked document.","Coperto da richiede un documento collegato.",""
"Covered by {0} {1}","Coperto da {0} {1}",""
"Create Addendum","Crea Addendum",""
"Create Live Budget","Crea Budget Live",""
"Create Planned Item","Crea Voce Pianificata",""
"Create Snapshot","Crea Snapshot",""
"Created from Live budget {0}.","Creato dal budget Live {0}.",""
"Default VAT rate for new entries (leave blank for no default, 0 is valid for zero-rated items).","Aliquota IVA predefinita per nuove voci (lasciare vuoto per nessun default, 0 è valido).",""
"Delta Amount (Annual)","Importo Delta (Annuale)",""
"Delta entries must link to contract XOR project.","Le voci Delta devono collegare un contratto O un progetto (XOR).",""
"Delta entries require a contract or a project.","Le voci Delta richiedono un contratto o un progetto.",""
"Delta vs Planned","Delta vs Previsto",""
"Delta vs Quoted","Delta vs Preventivato",""
"Description is required for negative allowance spend entries.","La descrizione è obbligatoria per le voci di spesa plafond negative.",""
"Descrizione sintetica.","Descrizione sintetica.",""
"Digits for Budget sequence numbers.","Cifre per i numeri di sequenza Budget.",""
"Digits for Contract sequence numbers.","Cifre per i numeri di sequenza Contratto.",""
"Digits for Exceptions / Allowance sequence numbers.","Cifre per i numeri di sequenza Eccezioni / Allowance.",""
"Digits for Project sequence numbers.","Cifre per i numeri di sequenza Progetto.",""
"Distribution","Distribuzione",""
"Distribution must be one of: all, start, end.","La distribuzione deve essere una tra: all, start, end.",""
"Document ID","ID Documento",""
"Document Naming","Denominazione Documenti",""
"End Date cannot be before Start Date.","La data di fine non può essere precedente alla data di inizio.",""
"Entry Kind","Tipo Voce",""
"Entry Kind must be Delta or Allowance Spend.","Il Tipo Voce deve essere Delta o Spesa Plafond.",""
"Exceptions / Allowance Digits","Cifre Eccezioni / Allowance",""
"Exceptions / Allowance Prefix","Prefisso Eccezioni / Allowance",""
"Execution","Esecuzione",""
"Expected (Plan + Exceptions)","Atteso (Piano + Eccezioni)",""
"Expected Total (Net)","Totale Atteso (Netto)",""
"Expected total (quoted if present, otherwise planned).","Totale atteso (preventivato se presente, altrimenti pianificato).",""
"Failed to create snapshot: ","Impossibile creare snapshot: ",""
"Financial Summary","Riepilogo Finanziario",""
"Financials","Dati Finanziari",""
"Flags","Flag",""
"Fornitore (opzionale).","Fornitore (opzionale).",""
"General Defaults","Impostazioni Generali",""
"Gentile utente,

Il contratto <b>{{ doc.title }}</b> (fornitore: {{ doc.vendor }}, categoria: {{ doc.category }}) sarà rinnovato automaticamente il <b>{{ doc.next_renewal_date }}</b> (notifica {{ notification.days_in_advance }} giorni prima).<br>
<a href=""{{ get_url_to_form(doc.doctype, doc.name) }}"">Apri contratto</a>

Cordiali saluti,
Master Plan IT","Gentile utente,

Il contratto <b>{{ doc.title }}</b> (fornitore: {{ doc.vendor }}, categoria: {{ doc.category }}) sarà rinnovato automaticamente il <b>{{ doc.next_renewal_date }}</b> (notifica {{ notification.days_in_advance }} giorni prima).<br>
<a href=""{{ get_url_to_form(doc.doctype, doc.name) }}"">Apri contratto</a>

Cordiali saluti,
Master Plan IT",""
"Gentile utente,

Il contratto <b>{{ doc.title }}</b> (fornitore: {{ doc.vendor }}, categoria: {{ doc.category }}) scadrà il <b>{{ doc.end_date }}</b> (notifica {{ notification.days_in_advance }} giorni prima).<br>
<a href=""{{ get_url_to_form(doc.doctype, doc.name) }}"">Apri contratto</a>

Cordiali saluti,
Master Plan IT","Gentile utente,

Il contratto <b>{{ doc.title }}</b> (fornitore: {{ doc.vendor }}, categoria: {{ doc.category }}) scadrà il <b>{{ doc.end_date }}</b> (notifica {{ notification.days_in_advance }} giorni prima).<br>
<a href=""{{ get_url_to_form(doc.doctype, doc.name) }}"">Apri contratto</a>

Cordiali saluti,
Master Plan IT",""
"Group By","Raggruppa per",""
"How often this cost recurs. Used with Unit Price to calculate amounts.","Quanto spesso ricorre questo costo. Usato con Prezzo Unitario per calcolare gli importi.",""
"I understand: manual refresh on a closed year may alter historical data.","Ho capito: l'aggiornamento manuale su un anno chiuso può alterare i dati storici.",""
"If enabled, the amounts entered include VAT.","Se abilitato, gli importi inseriti includono l'IVA.",""
"If enabled, this line is generated and should be read-only.","Se abilitato, questa riga è generata e dovrebbe essere di sola lettura.",""
"If set, overrides distribution placing the amount in spend_date month.","Se impostato, sovrascrive la distribuzione posizionando l'importo nel mese della data di spesa.",""
"Is Covered","È Coperto",""
"Is Generated","È Generato",""
"Line Kind","Tipo Riga",""
"Line {0}: Cost Center is required.","Riga {0}: Il Centro di Costo è obbligatorio.",""
"Links","Collegamenti",""
"Live budget for year {0} already exists: {1}.","Il budget Live per l'anno {0} esiste già: {1}.",""
"Live budgets are system-managed. Remove manual line at position {0}.","I budget Live sono gestiti dal sistema. Rimuovi la riga manuale alla posizione {0}.",""
"Live budgets cannot be submitted.","I budget Live non possono essere inviati.",""
"Live budgets cannot be submitted. Create a Snapshot instead.","I budget Live non possono essere inviati. Crea invece uno Snapshot.",""
"MPIT Overview","Panoramica MPIT",""
"MPIT Overview (Report)","Panoramica MPIT (Report)",""
"MPIT Settings","Impostazioni MPIT",""
"Manual refresh on closed year by {0}. Reason: {1}","Aggiornamento manuale su anno chiuso da {0}. Motivo: {1}",""
"Meta","Meta",""
"Monthly Amount","Importo Mensile",""
"Monthly Amount (Net)","Importo Mensile (Netto)",""
"Monthly Plan v3","Piano Mensile v3",""
"Monthly amount. Enter here OR in Annual Amount - the other will be calculated.","Importo mensile. Inserisci qui O in Importo Annuale - l'altro verrà calcolato.",""
"Monthly plan respecting spend_date and distribution","Piano mensile rispettando data di spesa e distribuzione",""
"Motivation for the addendum.","Motivazione per l'addendum.",""
"Next N Days","Prossimi N Giorni",""
"No Data","Nessun Dato",""
"No reason provided.","Nessuna motivazione fornita.",""
"Only Changed","Solo Modificati",""
"Only Live budgets can be refreshed.","Solo i budget Live possono essere aggiornati.",""
"Only Snapshot budgets can be submitted.","Solo i budget Snapshot possono essere inviati.",""
"Only vCIO Manager can revert a Verified entry to Recorded.","Solo il vCIO Manager può riportare una voce Verificata a Registrata.",""
"Out of Horizon","Fuori Orizzonte",""
"Over Cap: {0}","Oltre Plafond: {0}",""
"Overview Dashboard","Dashboard Panoramica",""
"Overview consolidato con filtri globali","Overview consolidato con filtri globali",""
"Parent Cost Center","Centro di Costo Padre",""
"Plan (Live): {0}","Piano (Live): {0}",""
"Plan vs Cap vs Actual","Piano vs Plafond vs Effettivo",""
"Plan vs Cap vs Actual per Cost Center","Piano vs Plafond vs Effettivo per Centro di Costo",""
"Planned Item (Delta)","Voce Pianificata (Delta)",""
"Planned Item (coverage)","Voce Pianificata (copertura)",""
"Planned Item {0}: linked project missing.","Voce Pianificata {0}: progetto collegato mancante.",""
"Planned Items (Submitted)","Voci Pianificate (Inviate)",""
"Planned Total (Net)","Totale Pianificato (Netto)",""
"Planned end date cannot be before planned start date.","La data di fine pianificata non può essere precedente alla data di inizio pianificata.",""
"Please save the document first.","Salva prima il documento.",""
"Prefix for Budget document names.","Prefisso per i nomi dei documenti Budget.",""
"Prefix for Contract document names.","Prefisso per i nomi dei documenti Contratto.",""
"Prefix for Exceptions / Allowance Entry document names.","Prefisso per i nomi dei documenti Eccezioni / Allowance.",""
"Prefix for Project document names.","Prefisso per i nomi dei documenti Progetto.",""
"Price per unit per period (based on recurrence). Leave empty to use monthly/annual amounts directly.","Prezzo per unità per periodo (basato sulla ricorrenza). Lasciare vuoto per usare direttamente gli importi mensili/annuali.",""
"Pricing","Prezzi",""
"Print Density","Densità di Stampa",""
"Print Orientation","Orientamento Stampa",""
"Print Profile","Profilo di Stampa",""
"Print Settings","Impostazioni di Stampa",""
"Project (Delta)","Progetto (Delta)",""
"Project Digits","Cifre Progetto",""
"Project is active ({0}) but has no Planned Items. It will not generate lines in the Live Budget.","Il progetto è attivo ({0}) ma non ha Voci Pianificate. Non genererà righe nel Budget Live.",""
"Project {0} is missing Cost Center required by Planned Item {1}.","Il progetto {0} manca del Centro di Costo richiesto dalla Voce Pianificata {1}.",""
"Projects by Status","Progetti per Stato",""
"Qty","Qta",""
"Quantity (e.g., number of licenses, units). Default is 1.","Quantità (es. numero di licenze, unità). Predefinito è 1.",""
"Quoted (Approved)","Preventivato (Approvato)",""
"Quoted Total (Net)","Totale Preventivato (Netto)",""
"Reason (optional)","Motivo (opzionale)",""
"Reason is required.","Il motivo è obbligatorio.",""
"Reference Snapshot","Snapshot di Riferimento",""
"Reference Snapshot and Year are required.","Snapshot di Riferimento e Anno sono obbligatori.",""
"Reference Snapshot has no Allowance line for Cost Center {0}.","Lo Snapshot di Riferimento non ha una riga Allowance per il Centro di Costo {0}.",""
"Reference Snapshot must be an approved Snapshot for year {0}.","Lo Snapshot di Riferimento deve essere uno Snapshot approvato per l'anno {0}.",""
"Refresh cancelled: confirmation is required.","Aggiornamento annullato: è richiesta la conferma.",""
"Refresh from Sources","Aggiorna da Fonti",""
"Refresh manual su anno chiuso","Aggiornamento manuale su anno chiuso",""
"Refresh on out-of-horizon year (manual only): proceed with caution.","Aggiornamento su anno fuori orizzonte (solo manuale): procedere con cautela.",""
"Remaining: {0}","Rimanente: {0}",""
"Renewals Window","Finestra Rinnovi",""
"Renewals Window (by Month)","Finestra Rinnovi (per Mese)",""
"Renewals {0}d","Rinnovi {0}g",""
"Reports","Report",""
"Rinnovo automatico contratto: {{ doc.title }} ({{ doc.vendor }})","Rinnovo automatico contratto: {{ doc.title }} ({{ doc.vendor }})",""
"Scadenza contratto: {{ doc.title }} ({{ doc.vendor }})","Scadenza contratto: {{ doc.title }} ({{ doc.vendor }})",""
"Select Year","Seleziona Anno",""
"Set both planned start and end date, or clear both.","Imposta sia la data di inizio che quella di fine pianificata, o puliscile entrambe.",""
"Settings","Impostazioni",""
"Short code used for Addendum autoname.","Codice breve usato per denominazione automatica Addendum.",""
"Short title (e.g. ""2025 Forecast"").","Short title (e.g. ""2025 Forecast"").",""
"Snapshot","Snapshot",""
"Snapshot (APP) for the same year.","Snapshot (Approvato) per lo stesso anno.",""
"Snapshot Allowance","Allowance Snapshot",""
"Snapshot budget line {0}: Cost Center is required.","Riga budget Snapshot {0}: Il Centro di Costo è obbligatorio.",""
"Snapshot budgets allow only Allowance manual lines (row {0}).","I budget Snapshot permettono solo righe manuali Allowance (riga {0}).",""
"Snapshot budgets are immutable.","I budget Snapshot sono immutabili.",""
"Snapshot {0} created from this Live budget.","Snapshot {0} creato da questo budget Live.",""
"Snapshot {0} created successfully.","Snapshot {0} creato con successo.",""
"Snapshots can only be created from Live budgets.","Gli Snapshot possono essere creati solo da budget Live.",""
"Solo per line_kind=Contract (read-only se generata).","Solo per line_kind=Contract (solo lettura se generata).",""
"Solo per line_kind=Project (read-only se generata).","Solo per line_kind=Project (solo lettura se generata).",""
"Sorgente riga (Contract, Project, Allowance cap, Manual).","Sorgente riga (Contract, Project, Allowance cap, Manual).",""
"Source Key","Chiave Sorgente",""
"Source budget name is required","Il nome del budget sorgente è obbligatorio",""
"Spend Date","Data di Spesa",""
"Spend Date cannot be in the past.","La data di spesa non può essere nel passato.",""
"Spend Date must fall between Start Date and End Date.","La data di spesa deve ricadere tra la Data Inizio e la Data Fine.",""
"Start Date and End Date are required.","Data Inizio e Data Fine sono obbligatorie.",""
"Start Date cannot be after End Date","La Data Inizio non può essere successiva alla Data Fine",""
"Submit the Snapshot to approve it.","Invia lo Snapshot per approvarlo.",""
"Submitted Planned Items are read-only (field {0}).","Le Voci Pianificate Inviate sono di sola lettura (campo {0}).",""
"Summary Year","Anno di Riepilogo",""
"This will create an immutable Snapshot (APP) from this Live budget. Continue?","Questo creerà uno Snapshot immutabile (APP) da questo budget Live. Continuare?",""
"Total Annual Amount","Importo Totale Annuale",""
"Total Monthly Amount","Importo Totale Mensile",""
"Total planned net from allocations.","Totale netto pianificato dalle allocazioni.",""
"Total quoted net amount.","Totale netto preventivato.",""
"Uncovered","Scoperto",""
"Uncovered (cleared covered_by)","Scoperto (rimosso covered_by)",""
"Unit Price","Prezzo Unitario",""
"Unknown","Sconosciuto",""
"Unsupported Budget Type: {0}","Tipo Budget non supportato: {0}",""
"VAT","IVA",""
"Variance / Exception Entries","Voci Varianza / Eccezione",""
"Verified Exceptions","Eccezioni Verificate",""
"Verified entries are read-only (field {0}).","Le voci Verificate sono di sola lettura (campo {0}).",""
"Year and Budget Type are required to generate Budget name","Anno e Tipo Budget sono richiesti per generare il nome del Budget",""
"Year and Cost Center are required","Anno e Centro di Costo sono obbligatori",""
"Year and Cost Center are required to name the Addendum.","Anno e Centro di Costo sono richiesti per nominare l'Addendum.",""
"Year closed: auto-refresh is OFF. Manual refresh may modify historical data.","Anno chiuso: auto-refresh DISATTIVATO. L'aggiornamento manuale potrebbe modificare i dati storici.",""
"Year used for budget summary.","Anno usato per il riepilogo budget.",""
"Years","Anni",""
